original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
64 x 62 cm.	NA	 62.0	 64.0	FALSE	NA	 62.0	 64.0	NA	 3968.00	    1
34 x 45 cm.	NA	 34.0	 45.0	FALSE	NA	 34.0	 45.0	NA	 1530.00	    1
12 cm.	NA	NA	 12.0	FALSE	NA	  9.0	 12.0	NA	  108.00	    1
23 cm.	NA	NA	 23.0	FALSE	NA	 18.0	 23.0	NA	  414.00	    1
poikittais-fol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
24,8 x 32,3 cm.	NA	 24.8	 32.3	FALSE	NA	 24.8	 32.3	NA	  801.04	    1
8 :o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
25 cm.	NA	NA	 25.0	FALSE	NA	 19.0	 25.0	NA	  475.00	    1
48 x 36 cm.	NA	 36.0	 48.0	FALSE	NA	 36.0	 48.0	NA	 1728.00	    1
kuv. ;;8:o +	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
20 cm +	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	    1
folio.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
20 cm  +	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	    1
8:o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
21,5 x 25,5 cm, lehti 26 x 30 cm.	NA	 21.5	 25.5	FALSE	NA	 21.5	 25.5	NA	  548.25	    1
8:0.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
4:o2.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    1
29 cm.	NA	NA	 29.0	FALSE	NA	 20.0	 29.0	NA	  580.00	    1
lehdet 52 x 61,5 cm, 51 x 61,5 cm.	NA	 52.0	 61.5	FALSE	NA	 52.0	 61.5	NA	 3198.00	    1
44,7 x 60,5 cm, lehti 54 x 66 cm.	NA	 44.7	 60.5	FALSE	NA	 44.7	 60.5	NA	 2704.35	    1
58,5 x 98,5 cm.	NA	 58.5	 98.5	FALSE	NA	 58.5	 98.5	NA	 5762.25	    1
32 x 22,7 cm, lehti 41,3 x 26,5 cm.	NA	 22.7	 32.0	FALSE	NA	 22.7	 32.0	NA	  726.40	    1
